PressureSensor 0,PressureSensor 1,PressureSensor 2,PressureSensor 3,PressureSensor 4,PressureSensor 5,PressureSensor 6,PressureSensor 7,PressureSensor 8,PressureSensor 9,PressureSensor 10,PressureSensor 11,PressureSensor 12,PressureSensor 13,PressureSensor 14,PressureSensor 15,PressureSensor 16,PressureSensor 17,PressureSensor 18,PressureSensor 19,PressureSensor 20,PressureSensor 21,PressureSensor 22,PressureSensor 23,PressureSensor 24,PressureSensor 25,PressureSensor 26,PressureSensor 27,PressureSensor 28,PressureSensor 29,PressureSensor 30,PressureSensor 31,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,copX,copY,sumP
32,34,31,40,32,31,31,31,32,34,121,36,31,31,34,32,31,31,31,31,31,31,31,32,31,31,31,31,32,32,31,31,-8587,5985,8331,-1883,10326,229,81.9613309352518,227.9586330935252,1112
32,34,31,40,32,31,31,31,31,33,113,36,32,33,35,32,31,32,32,32,32,32,31,31,32,32,31,31,32,31,31,31,-6113,5486,5374,-629,12152,-1246,82.18496849684969,228.5130513051305,1111
32,33,31,39,32,31,31,31,31,34,117,36,31,31,34,32,31,31,31,32,33,32,31,31,32,32,32,32,32,31,31,32,-4991,4751,5267,2176,13839,-1965,82.21627697841727,228.93075539568343,1112
32,35,31,40,31,31,31,31,32,34,118,36,31,32,35,32,32,32,31,32,32,31,33,31,31,32,32,31,32,32,31,31,-4991,4751,5267,2176,13839,-1965,82.15026833631485,228.04203935599284,1118
32,34,31,40,31,31,32,31,32,33,115,36,31,32,35,33,31,32,32,32,31,32,32,32,32,32,32,31,32,32,32,32,-3381,2762,5807,5020,15375,-2573,82.24105545617174,229.01475849731665,1118
32,34,31,39,31,31,31,31,32,33,145,36,31,32,34,32,29,32,32,31,32,31,32,32,33,32,31,31,31,32,32,31,-2453,1530,6259,5882,16211,-3302,81.99209833187007,228.6852502194908,1139
32,34,31,40,32,32,32,31,31,33,162,36,31,32,34,32,27,31,31,31,31,32,31,32,31,31,31,31,32,32,31,31,-1748,1227,7500,6037,16911,-4058,81.64943527367507,227.88705473501304,1151
32,34,31,40,32,32,31,32,32,33,173,36,31,32,35,32,31,31,31,31,31,31,31,31,33,32,31,31,32,33,32,32,-876,911,8993,5804,17808,-5001,81.56911262798634,228.3528156996587,1172
32,34,31,39,31,32,31,32,31,34,186,36,31,32,34,32,32,31,31,31,31,31,31,32,31,31,31,32,33,32,31,32,-324,1248,9878,5432,18680,-5904,81.59060118543607,227.3255715495343,1181
32,34,31,40,32,31,31,31,32,34,213,37,32,31,34,31,31,31,31,31,31,31,31,31,31,32,31,31,33,31,31,32,-324,1248,9878,5432,18680,-5904,81.34452736318408,226.66873963515755,1206
32,34,31,40,32,33,32,32,31,33,232,37,32,32,34,32,32,31,31,32,32,32,31,31,32,31,32,31,32,32,31,31,-567,1054,14228,4780,19214,-6666,81.41443633414437,226.0352798053528,1233
32,34,31,40,32,32,31,32,32,34,240,36,31,32,34,33,32,32,31,31,31,32,31,32,31,31,31,31,31,32,32,32,1538,2866,14403,6392,19808,-6392,81.27966101694915,225.7772397094431,1239
32,34,31,39,31,32,31,31,32,33,243,36,32,31,34,31,31,31,31,31,32,31,31,31,32,31,31,32,32,32,31,32,2778,2314,16257,6385,19936,-6371,81.29797570850202,226.5651821862348,1235
32,34,32,40,32,33,31,31,31,34,237,36,31,31,34,32,31,32,32,32,32,32,32,31,31,31,31,31,32,31,31,32,4871,3854,18338,4758,19872,-7143,81.44696356275304,225.2246963562753,1235
33,35,31,39,31,31,31,32,32,33,232,37,32,33,35,32,32,32,31,31,32,31,31,32,32,31,31,31,31,31,31,32,4871,3854,18338,4758,19872,-7143,81.32006498781479,226.00365556458163,1231
32,34,32,40,32,32,32,32,32,33,232,36,32,32,35,32,32,32,32,32,32,32,31,33,31,31,32,31,32,32,31,31,9105,5896,20647,4030,19449,-8123,81.55537590945836,225.3815683104285,1237
33,34,31,40,32,32,31,31,31,33,239,36,32,32,35,32,32,32,31,33,32,32,31,31,32,32,31,31,32,32,31,31,15885,6486,21929,4674,18458,-8103,81.51854838709677,225.7379032258065,1240
32,34,31,39,31,31,31,31,32,32,341,36,32,32,34,31,32,31,30,31,31,32,31,32,32,33,31,32,32,32,32,32,25608,3848,20800,4867,15912,-7088,81.0127245508982,225.64184131736528,1336
32,34,30,40,31,33,32,31,32,33,402,37,32,32,34,32,31,31,30,32,32,32,31,31,31,32,31,32,31,31,31,32,30082,4224,14938,6756,12805,-5773,80.52682403433477,223.84191702432045,1398
32,34,30,39,31,31,208,32,31,32,442,31,32,31,33,32,31,32,30,31,32,31,31,32,32,32,31,32,32,32,31,32,32764,-6164,4255,8768,7269,-3769,82.92461059190032,218.4809968847352,1605
32,34,30,39,32,39,181,31,31,31,497,32,32,31,33,31,32,31,31,32,32,31,31,32,32,33,31,32,31,31,31,31,32764,-6164,4255,8768,7269,-3769,82.3780487804878,218.0707317073171,1640
32,35,31,40,32,33,32,31,33,33,408,36,32,32,34,31,31,32,31,32,32,32,32,32,31,32,30,33,155,78,31,31,32764,-14271,10626,3331,-2458,-3069,81.22626582278481,241.40854430379747,1580
31,32,30,37,31,29,31,30,31,32,305,32,30,389,33,29,29,29,30,28,30,28,30,28,1056,894,283,1260,574,684,528,1205,-2322,-2042,8548,-7164,-11129,193,85.13474770642202,413.3794597349643,7848
24,26,29,27,28,24,26,24,48,25,164,25,184,975,28,24,24,24,28,23,28,23,26,24,2290,2235,1105,2536,977,1674,1712,2367,-4125,763,13115,-7945,-10855,1452,86.18176670441676,435.31197472730526,16777
22,24,26,24,26,48,24,22,140,23,191,22,437,1062,26,23,23,22,25,22,26,21,24,22,2534,2655,1839,2874,1282,1981,2104,2776,2943,1235,22290,-3505,-14119,3407,86.15503190967108,433.7771968581247,20370
22,22,23,23,23,92,24,21,191,84,175,42,1048,1199,26,27,22,22,23,21,23,20,24,21,2573,2773,2329,2960,1521,2002,2172,2879,2943,1235,22290,-3505,-14119,3407,85.09952289650867,429.40522584384894,22427
22,22,22,23,21,129,25,21,296,167,218,69,1592,1255,26,170,23,21,22,21,21,20,25,21,2349,2747,2522,2937,1517,1999,1936,2805,1036,4566,12923,-1411,-10741,4034,83.51491501907735,422.4829604578564,23064
22,22,22,23,44,205,133,21,654,334,340,207,1655,1264,132,330,22,21,22,20,49,20,25,21,2174,2647,2525,2825,1546,1968,1706,2708,2147,4231,11607,-3017,-6250,1032,81.22605137723035,409.3358079892015,23707
22,22,22,23,64,312,416,32,806,478,484,375,1641,1217,225,458,22,21,60,18,72,20,25,60,2095,2578,2517,2716,1583,1941,1356,2563,551,1878,10625,-2963,-1717,-50,80.41098828576142,395.73121184623,24244
22,22,57,23,64,380,746,91,902,574,565,453,1643,1197,297,530,22,21,114,18,97,60,208,155,2039,2529,2380,2693,1608,1880,1101,2403,102,2493,8785,-2005,-402,-15,80.61550976138828,382.18148951554593,24894
22,21,76,23,81,436,957,122,957,619,641,533,1624,1148,292,561,22,21,135,20,127,109,264,224,1992,2495,2302,2625,1586,1823,863,2307,-295,2348,8488,-1260,-213,109,80.8815326833946,373.30669649992006,25028
22,22,110,23,102,475,1101,173,1024,664,708,578,1602,1150,348,578,22,21,169,18,194,148,333,261,1873,2462,2213,2564,1544,1761,691,2201,-295,2348,8488,-1260,-213,109,80.78391969787319,364.593043132578,25155
22,25,129,23,134,527,1193,206,1211,716,777,649,1590,1156,398,614,23,38,190,18,215,185,409,297,1677,2361,2092,2472,1509,1675,558,2095,-217,1976,8695,-661,-324,206,79.95258894536214,355.09515962515883,25184
22,31,152,24,167,579,1238,241,1371,817,855,705,1580,1173,431,654,24,44,206,18,257,204,451,322,1439,2218,1971,2352,1443,1573,467,1964,-438,2222,8470,-58,-520,227,78.73108470371704,345.6083103268915,24993
22,38,177,24,190,651,1306,292,1534,952,931,798,1586,1168,462,704,26,45,231,19,280,231,472,348,1219,2039,1783,2184,1371,1446,354,1799,-354,2240,8226,227,-758,275,77.15217567458066,334.42948302406614,24682
23,42,212,25,227,746,1353,354,1710,1120,1030,928,1575,1165,519,751,27,46,266,20,314,261,481,354,931,1822,1567,1946,1280,1279,208,1599,-266,2372,8144,248,-952,261,75.0214424548199,320.2923369587693,24181
23,48,236,26,263,853,1416,435,1883,1263,1145,1081,1552,1126,556,782,27,67,301,22,352,296,485,391,650,1601,1343,1645,1204,1115,87,1371,-266,2372,8144,248,-952,261,73.04899555931486,304.4263692112497,23645
23,54,262,27,303,971,1451,523,2053,1432,1248,1229,1509,1028,573,806,28,59,330,25,401,339,509,440,420,1349,1126,1361,1074,1011,40,1120,-209,2330,8043,111,-1027,289,71.07747362048089,288.39986594014874,23124
24,63,295,28,378,1100,1478,629,2160,1585,1333,1370,1429,882,575,807,28,112,363,27,451,398,519,519,250,1083,934,1076,986,898,26,819,-166,2416,7890,-111,-948,360,69.80629834254144,270.97111602209947,22625
24,71,346,29,459,1235,1492,719,2275,1705,1393,1513,1323,746,581,768,31,113,403,34,520,465,532,634,76,880,772,827,882,761,23,589,-50,2249,7972,-370,-817,393,68.78821835200937,254.2051887853832,22221
45,82,398,30,522,1356,1503,838,2307,1824,1454,1613,1180,630,591,681,32,137,441,26,597,553,554,750,48,699,635,634,836,604,23,320,28,2119,8077,-374,-744,359,68.73344574579592,238.87961992434944,21943
48,91,448,30,595,1447,1521,954,2325,1942,1493,1680,1027,535,564,611,54,167,474,31,674,613,588,835,23,529,510,512,761,525,24,144,53,2202,8072,-281,-659,298,68.7560045924225,225.9382548794489,21775
48,101,510,32,672,1521,1528,1038,2338,2024,1532,1759,883,428,565,551,75,201,512,31,755,701,602,881,24,409,415,376,700,464,23,88,53,2202,8072,-281,-659,298,68.91556891724423,215.73470418139257,21787
46,99,584,32,740,1609,1549,1081,2349,2087,1511,1833,769,296,565,481,108,252,579,49,815,790,612,968,23,353,345,219,661,392,23,48,98,2278,7937,-279,-583,280,69.69201573074812,206.09689957929396,21868
49,111,613,37,795,1682,1579,1143,2339,2099,1509,1922,646,201,537,479,174,301,622,34,884,878,674,1062,23,287,310,87,638,301,22,23,64,2281,8050,-333,-526,309,70.73591405647976,197.94596799782423,22061
54,125,672,45,889,1734,1585,1181,2289,2171,1508,1977,552,159,556,419,314,344,663,61,956,945,711,1148,23,236,269,25,567,225,22,22,109,2235,8186,-352,-548,332,71.83763977368913,190.4944536018176,22447
76,129,738,84,972,1779,1612,1200,2231,2237,1496,1999,442,96,536,381,449,376,712,56,1020,1066,747,1238,22,138,207,23,495,169,22,22,150,2212,8355,-302,-731,377,73.13563899868248,183.00621431708387,22770
79,130,817,124,1073,1824,1636,1190,2163,2288,1493,1988,349,36,537,298,619,455,764,99,1090,1143,790,1396,22,61,125,23,436,100,21,22,150,2212,8355,-302,-731,377,74.98311845112327,175.03225389159587,23191
108,145,881,170,1196,1843,1698,1248,2070,2295,1487,1969,221,21,477,227,790,552,821,157,1168,1244,817,1538,22,19,67,23,322,50,22,21,118,2310,8406,-201,-1077,516,77.10010975558276,167.10055299928237,23689
178,190,936,248,1325,1847,1749,1281,2027,2250,1471,1921,114,21,413,173,920,638,861,226,1256,1339,862,1666,21,19,31,23,223,21,21,21,148,2646,8554,-11,-1525,804,79.12650255228058,160.77080931994072,24292
225,208,987,324,1419,1827,1824,1307,1883,2193,1428,1856,47,21,328,129,1053,750,923,297,1306,1423,888,1755,21,19,23,23,167,21,21,21,354,2555,9034,576,-2134,1435,81.35277339482947,155.9397378322612,24717
251,235,1011,406,1493,1794,1905,1311,1789,2109,1382,1784,26,21,260,52,1166,878,969,384,1360,1492,882,1834,21,19,20,23,119,20,21,20,374,2494,9411,322,-3762,1685,83.3338588019316,151.79353074989024,25057
317,271,1058,483,1534,1778,1981,1333,1654,2010,1314,1637,23,21,146,25,1294,1011,1020,471,1395,1550,869,1895,20,20,20,23,50,20,22,20,591,2290,9728,237,-5685,1893,85.44281194384023,147.14516511765868,25285
409,312,1103,560,1588,1746,2095,1343,1532,1911,1198,1423,22,21,73,21,1366,1104,1080,535,1418,1600,699,1930,20,20,20,23,21,20,22,20,591,2290,9728,237,-5685,1893,86.98422094634726,142.9148485448426,25255
471,341,1166,766,1597,1704,2133,1332,1408,1844,1072,1070,22,21,23,21,1430,1184,1140,632,1414,1653,642,1956,20,20,20,24,21,20,22,20,799,2275,10032,367,-8558,2098,88.78160577571502,138.36328295450036,25209
565,369,1259,1071,1613,1646,2063,1331,1270,1778,850,496,22,21,24,21,1488,1265,1236,757,1422,1725,518,1977,20,20,20,24,21,20,23,20,1452,3100,9812,347,-11844,2518,90.8945501903426,131.79136445602083,24955
668,408,1342,1299,1615,1536,1930,1328,1014,1651,635,228,22,21,25,21,1594,1341,1313,768,1428,1803,488,1991,21,20,21,24,21,20,24,20,904,4057,12279,-1019,-13480,3350,93.17595373376624,126.59935064935064,24640
782,448,1406,1400,1589,1294,1733,1305,701,1486,515,84,22,21,26,21,1720,1429,1371,838,1430,1992,505,2001,21,20,21,24,21,21,24,20,823,5831,14014,-2733,-18008,5224,96.1884236960191,122.06745296611912,24291
846,529,1378,1485,1424,905,1341,1250,515,1149,472,28,22,22,27,21,1760,1542,1398,872,1479,2138,632,2009,21,21,21,24,22,22,25,21,823,5831,14014,-2733,-18008,5224,99.6058024849494,118.48012467443748,23421
873,717,1294,1518,826,775,1196,898,497,743,503,21,24,23,27,22,1802,1594,1313,870,1465,1900,756,1940,21,21,21,24,24,23,25,22,2310,7260,16726,-6088,-24193,7775,102.49219395720452,116.17887317476352,21778
863,769,782,1540,485,719,1092,1010,372,587,850,21,26,24,27,24,1847,1289,857,769,1054,1505,804,1306,21,21,24,25,27,25,26,24,6130,7495,23661,-8085,-28979,9443,100.33098591549296,116.4365134201435,18815
1052,629,405,1436,303,563,919,738,265,418,620,23,28,26,29,27,1575,495,617,446,807,1025,353,915,22,20,27,25,29,27,28,27,7716,5690,23914,-6921,-29158,9397,97.78055176377612,113.23791220633666,13919
985,201,216,803,117,408,513,168,268,108,326,25,30,29,32,29,765,310,381,137,402,551,136,653,26,22,29,30,30,29,30,29,2195,6537,19807,-2559,-24990,8459,100.52385520593502,117.62228191353287,7818
128,34,31,40,31,102,167,30,109,31,226,32,31,32,33,31,45,42,32,38,70,32,31,254,30,31,31,31,33,31,31,31,-4235,7290,14980,2740,-19694,9394,90.81951089845826,191.96251993620416,1881
31,34,31,40,32,31,31,31,34,35,231,36,32,31,34,31,29,31,31,31,31,31,31,31,31,31,31,31,31,33,31,31,-4235,7290,14980,2740,-19694,9394,81.01924651924652,226.4131859131859,1221
31,34,31,40,31,31,31,31,32,34,30,37,32,32,35,32,32,32,33,32,31,31,33,32,32,32,32,31,31,31,33,31,-10189,5494,9283,1997,-16003,10844,82.77686350435624,230.6568247821878,1033
31,34,31,40,32,31,31,31,31,33,32,36,31,31,34,31,31,32,32,31,31,31,33,31,32,32,32,31,31,31,33,31,-9326,8408,13622,957,-3557,9148,82.88780487804878,230.7678048780488,1025
33,34,32,41,31,32,32,32,31,32,36,36,31,32,36,32,31,31,35,31,31,32,32,32,31,31,32,31,33,32,31,32,-9072,4700,8946,2162,8183,5281,82.81604226705092,229.58117195004803,1041
33,35,32,40,31,31,31,32,33,33,36,37,31,32,35,32,31,31,35,31,31,31,32,31,31,31,32,32,32,32,31,32,-5211,3602,6230,1163,11871,1497,82.4860576923077,229.7918269230769,1040
32,34,32,40,32,31,31,32,32,34,38,36,31,31,35,32,32,31,34,31,31,32,32,31,31,31,31,32,33,32,31,31,-5211,3602,6230,1163,11871,1497,82.63137632338787,229.43455245428297,1039
32,34,32,39,31,31,31,31,32,34,40,36,32,32,35,31,32,31,36,31,31,32,32,32,32,31,31,32,32,32,31,31,-4174,4333,4914,1252,12496,-1458,82.81813819577735,229.74184261036467,1042
31,34,31,39,32,31,31,31,31,33,38,36,31,32,35,32,32,32,37,32,32,32,32,32,32,32,32,32,31,32,32,31,-2829,4282,5926,4087,13794,-3579,83.10450623202301,230.04697986577185,1043
32,34,32,41,32,31,31,31,32,34,39,37,32,31,35,32,31,32,34,31,31,31,33,32,32,31,31,31,31,31,31,31,-1515,2702,7488,6557,15918,-5377,82.66586538461539,228.9971153846154,1040
31,34,31,39,31,32,31,31,31,33,41,36,32,31,34,32,31,31,36,31,31,31,32,31,31,32,31,31,31,31,31,31,-446,1988,8344,6872,17515,-6945,82.74152952565343,229.71539206195547,1033
32,34,32,40,32,31,31,32,31,34,42,36,32,32,35,32,31,31,36,32,31,32,33,32,31,32,32,31,31,32,31,31,397,2438,9101,6403,18390,-7632,82.80229226361031,229.1723973256925,1047
32,34,31,39,32,31,31,31,31,33,51,36,32,31,35,32,31,31,38,32,32,32,32,31,31,31,32,31,32,32,31,31,397,2438,9101,6403,18390,-7632,82.82889733840304,229.0161596958175,1052
32,34,31,40,33,32,31,31,32,34,109,37,32,32,35,32,32,32,31,32,32,32,31,32,31,31,31,31,31,32,31,32,1725,2791,10684,6975,19094,-7265,82.04680468046804,227.8708370837084,1111
32,35,31,39,32,32,31,31,32,33,141,36,32,31,35,32,32,33,32,31,31,31,31,31,33,32,31,31,32,33,33,31,2900,2667,12404,7955,19566,-6452,81.97812773403325,228.5971128608924,1143
31,35,32,40,32,33,32,31,31,33,159,36,32,32,35,32,31,31,31,32,31,31,31,31,31,32,31,31,32,31,32,31,3972,2462,14336,8470,19971,-5710,81.63884083044982,227.5774221453287,1156
31,34,31,40,31,31,31,31,31,33,165,36,31,32,34,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,31,31,5728,1906,16052,7905,20056,-5571,81.77146574154379,227.95663486556808,1153
31,34,31,39,31,31,31,31,32,33,165,36,31,31,35,32,31,31,31,31,31,31,31,31,31,32,31,31,32,32,31,32,5728,1906,16052,7905,20056,-5571,81.66291161178509,228.08882149046795,1154
32,34,31,40,32,31,31,32,31,33,167,36,31,31,35,31,31,31,31,31,31,32,32,32,32,31,31,31,32,32,31,32,7574,2540,17288,6217,19482,-6756,81.84969853574505,227.34840654608092,1161
32,34,32,41,32,32,32,32,31,33,188,37,32,31,35,32,31,31,31,31,31,31,31,31,32,31,31,31,31,31,32,31,10753,4373,18522,5190,18479,-8739,81.4539695945946,226.68116554054052,1184
